"Parts";"Qty";"AKIZUKI";"DIGIKEY";"Value";"Device";"Package";"Description"
"IC10";"1";;"296-18203-1-ND";"IC_TTL_SINGLE_74_139_FLAT";"IC_TTL_SINGLE_74_139_FLAT";"SOT65P315X290-8N";
"IC1";"1";;"296-27129-1-ND";"IC_USB_TUSB2036";"IC_USB_TUSB2036";"QFP32_0.8P7.2X7.2";
"IC3, IC4, IC5";"3";;"296-35520-1-ND";"IC_POWER_TPS2041C";"IC_POWER_TPS2041C";"IC_05_0.95_50MIL";
"C1, C2, C3, C13, C20";"5";;"490-3261-1-ND";;"C_SMD_0.1U_1005";"C0402";"SMD CAPACITOR : PAD - PAD"
"C5, C6, C7, C8, C9, C10, C12, C14, C15, C16, C17, C18, C19";"13";;"490-9962-1-ND";;"C_SMD_4.7U_2012";"CR_2125";"SMD CAPACITOR : PAD - PAD"
"U1";"1";;"568-11574-1-ND";"IC_LPC81X_16";"IC_LPC81X_16";"XSON16_0.4P3.2X2.5";
"IC6";"1";;"AZ1117EH-3.3TRG1DICT-ND";"LDO4_3.3_SOT223";"LDO4_3.3_SOT223";"IC_SOT223";
"IC7, IC8, IC9";"3";;"AZ1117EH-5.0TRG1DICT-ND";"LDO4_5.0_SOT223";"LDO4_5.0_SOT223";"IC_SOT223";
"IC2";"1";;"FSUSB74MPX-ND";"IC_USB_FSUSB74";"IC_USB_FSUSB74";"QFN16_0.5P3.0X3.0";
"R1, R2, R27, R28, R29, R30";"6";;"P1.00KLCT-ND ";;"R_US_1.0K_1005";"C0402";"R_US_PAD_PAD : SMD R PAD is NTH-NTH"
"R15";"1";;"P1.50KLCT-ND";;"R_US_1.5K_1005";"C0402";"R_US_PAD_PAD : SMD R PAD is NTH-NTH"
"R24, R25, R26, R31, R32, R33, R34, R35, R36, R37";"10";;"P10.0KLCT-ND";;"R_US_10K_1005";"C0402";"R_US_PAD_PAD : SMD R PAD is NTH-NTH"
"R9, R10, R11, R12, R13, R14";"6";;"P15.0KLCT-ND";;"R_US_15K_1005";"C0402";"R_US_PAD_PAD : SMD R PAD is NTH-NTH"
"R3, R4, R5, R6, R7, R8, R16, R17, R18, R19, R20, R21, R22, R23";"14";;"P33.0LCT-ND";"33/1005";"R_US_33R_1005";"C0402";"R_US_PAD_PAD : SMD R PAD is NTH-NTH"
"CON1, CON2, CON3, CON4";"4";;"WM17143CT-ND";;"CON_USB_UB";"CON_USB_47589-0001MOLEX";"USB B CONNECTOR"
"J1";"1";"C-01604";;"CON_DCJACK_C1604";"CON_DCJACK_C1604";"CON_DCJACK_C-1604";"DC JACK : 2.1 / 2.5 mm"
"CON5, CON6, CON7";"3";"C-07674";;;"CON_USB_A";"CON_USB_A_SHIELD";"USB B CONNECTOR"
"LED1";"1";"I-06419";;"RD";"LEDRDCHIPLED_0805";"CHIPLED_0805";"LED"
"LED4";"1";"I-06420";;"YL";"LEDYLCHIPLED_0805";"CHIPLED_0805";"LED"
"LED3";"1";"I-06423";;"GR";"LEDGRCHIPLED_0805";"CHIPLED_0805";"LED"
"LED2";"1";"I-06424";;"BL";"LEDBLCHIPLED_0805";"CHIPLED_0805";"LED"
"C11";"1";"P-05002";;"C_DENKAI_100U_2.5P5";"C_DENKAI_100U_2.5P5";"C_2.5PHI5";"(Device name) : (Main function of the device)"
"SW1";"1";"P-08213";;"TACTSW2_RD_P807X";"TACTSW2_RD_P807X";"SW_TACTSW_P8073";
"SW2";"1";"P-08214";;"TACTSW2_BL_P807X";"TACTSW2_BL_P807X";"SW_TACTSW_P8073";
"SW3";"1";"P-08215";;"TACTSW2_GR_P807X";"TACTSW2_GR_P807X";"SW_TACTSW_P8073";
"SW4";"1";"P-08216";;"TACTSW2_YL_P807X";"TACTSW2_YL_P807X";"SW_TACTSW_P8073";
"C4, C21";"2";;"490-5924-1-ND";;"C_SMD_12P_1005";"C0402";"SMD CAPACITOR : PAD - PAD"
"Q1";"1";;;;"CRYSTAL4_6.0M_2520";"CLOCK_2520";
"TP1, TP2";"0";;;"TPPAD1-13";"TPPAD1-13";"P1-13";"Test pad"
"X2, X3";"0";;;"TSW-102-02-S-S";"TSW-102-02-S-S";"TSW-102-02-S-S";"THROUGH-HOLE .025"" SQ POST HEADER"
"U$1";"0";;;"ICON_OSHW";"ICON_OSHW";"ICON_OSHW";
"PCB1";"0";;;"PCB_DP_SQUARE-7X7";"PCB_DP_SQUARE-7X7";"DP7070_V1";"Dangerous Prototypes Standard Square PCB sizes"
"X1";"0";;;"TSW-106-02-S-S-RA";"TSW-106-02-S-S-RA";"TSW-106-02-S-S-RA";"THROUGH-HOLE .025"" SQ POST HEADER"
