"Qty","Value","Parts","Description","AKIZUKI","DIGIKEY","MOUSER","SEEED"
"11","0.1u/1005","C1/C2/C3/\
C4/C13/\
C18/C19/\
C20/C21/\
C22/C23","SMD CAPACITOR",,"490-3261-1-ND",,"302010024"
"8","4.7u/2012","C5/C6/C7/\
C12/C14/\
C15/C16/\
C17","SMD CAPACITOR",,"490-9962-1-ND",,
"3","100u/\
OS-CON","C8/C9/C10","Chemical capacitor",,"732-6394-1-ND",,
"1","100u/\
OS-CON","C11","Chemical capacitor",,"P16468CT-ND",,
"4",,"CON1/CON2/\
CON3/CON4","USB A CONNECTOR",,"WM17143CT-ND",,
"3",,"CON5/CON6/\
CON7","USB B CONNECTOR",,"732-5962-1-ND","710-614104150121",
"1","TUSB2036","IC1","2/3-port USB hub IC",,"296-27129-1-ND",,
"1","FSUSB74MPX","IC2","4 to 1 USB switch",,"FSUSB74MPXCT-ND",,
"3","TPS2041C","IC3/IC4/IC5","power switch",,"296-35520-1-ND",,
"1","3.3V","IC6","LDO with 4 pins",,"296-32364-1-ND",,
"3","5V","IC7/IC8/\
IC9","LDO with 4 pins",,"296-19663-1-ND","595-TLV1117-50CDRJR",
"1","SN74LVC\
1G139DCTR","IC10","single 74 logic IC: 139",,"296-18235-1-ND",,
"1",,"J1","DC JACK : 2.1 / 2.5 mm","C-01604",,"163-179PH-EX","320120003"
"1","RD","LED1","LED","I-06419","160-1168-1-ND",,"304090046"
"1","BL","LED2","LED","I-06424","160-1643-1-ND",,"304090061"
"1","GR","LED3","LED","I-06423","160-1169-1-ND",,"304090057"
"1","YL","LED4","LED","I-06420","160-1170-1-ND",,"304090039"
"14","33/1005","R3/R4/R5/\
R6/R7/R8/\
R16/R17/\
R18/R19/\
R20/R21/\
R22/R23","SMD resistor",,"P33.0LCT-ND",,"301010609"
"6","15k/1005","R9/R10/\
R11/R12/\
R13/R14","SMD resistor",,"P15.0KLCT-ND",,"301010042"
"1","1.5k/1005","R15","SMD resistor",,"P1.50KLCT-ND",,"301010001"
"11","10k/1005","R24/R25/\
R31/R32/\
R33/R34/\
R37/R41/\
R45/R46/\
R47","SMD resistor",,"P10.0KLCT-ND",,"301010047"
"4","1k/1005","R27/R28/\
R29/R30","SMD resistor",,"P1.00KLCT-ND",,"301010006"
"4",,"SW5/SW6/\
SW7/SW8","2P tact switch",,"EG1839-ND","EG1839-ND",
"1",,"TP1","test points",,"36-5019CT-ND",,
"1","LPC812M101\
JDH16","U1","LPC81X microcontroller",,"568-10436-5-ND",,
"1","TSW-106-02-S-S-RA","X1","THROUGH-HOLE HEADER","C-05336","952-2372-ND",,"320020019"
"1","OSC4_6.0M","Y1",,,"CTX974CT-ND",,
